tweet_id	sentiment	confidence	tweet_text
13085	Negative	0	Colt is trying it again. You guys ready for some sweet sweet music. Shhhhhh and listen
13137	Irrelevant	0	totally absolutely love the new
13009	Neutral	0	@IdleSloth1984 what the hell do you mean? Xbox x is litterly a pc. What the hell is the use of buying a worse pc. At least the ps5 will have a better controller. And more. Plus we actually HAVE vr. You restarted xbot
13049	Neutral	0	Please win that I was forever Xbox gang, but I'm rocking with the old chunky black Xbox that could go out any day now.... @ Xbox @ XboxSupport @ XboxGamePass @ XboxANZ
13071	Negative	0	It is hard to overcome how devastating the delay in the launch of the Xbox Series X tricksfast.com / its-hard-to-ov is...
13151	Positive	0	So 2020 looks to be an exciting gaming time! Well great games come out on all platforms except Xbox Series X and PlayStation. Will we do some Switch Pro announcement? Also new year in new programming for the @NintendoFuse Podcast starting 1/7 and the Switchmania Playcast this weekend!
13179	Negative	0	Ok so this is getting to bother me... Even Microsoft saying they wont have any Year 1 release exclusives for Xbox Series MVP X games is a business decision in THEIR time benifit, do you all know that right?.. There still are people out here thinking they are doing it out of the kindness of selling their little hearts for the gamers CONTD
8413	Negative	0	keep it a bean, the shooting is a huge problem for me cuz I just don’t have the time to spend hours practicing this new shot meter, last year I gradually got better over the first week, I’ve made zero progress @NBA2K @Beluba @Ronnie2K I’m begging y’all to change this shit
8419	Positive	0	I remember when I called Danny Green a garbage bag because he hadn't signed with the Clippers, good times.
8467	Positive	0	It's funny. Last year I won my first 20 or something in a day. @ N2K _ MyTEAM
8516	Negative	0	@NBA2K I brought it worth I vc it’s not showing and it’s saying I must measure anymore!
8375	Negative	0	microsoft really out here trynna extort money from me because I do I just need time
5232	Negative	0	Does anyone have a problem with Hearthstone logging on Asian server ATMs? I can't find anything about maintenance or anything like that anywhere.
5272	Neutral	0	
5274	Negative	0	The original Heartstone Battlegrounds lol!
5276	Irrelevant	0	HANDSOME RENO Saves The Box Today<unk> Hearthstone Daily Moments Ep.1572 gameforce.jp/hearthstone%e3…
5348	Neutral	0	Yeah. Now!
1867	Positive	0	Really putting the event in
5538	Neutral	0	out some reason, Wild Roots became Epic in its latest patch. Anyway, it was already confirmed that it's developers community and devs were looking into it! If.com/patch-17-0-is-...
5571	Neutral	0	and
5579	Neutral	0	Looks like a good arena deck so far XD
1395	Negative	0	I forgot to stick it on, but I managed to get past half the enemy team last night during Operation Underground and mowed them down with a shotgun... I'm so upset with myself...
1436	Positive	0	Tell me why one of my favorite things about Battlefield V is the construction of the fortifications.
